"varname","form","par1","par2","par3","par4","lower.trun","upper.trun","resamp","min.age","max.age","gender","season","media"
"avail.f","point",0.5,"NA","NA","NA","NA","NA"," ","NA","NA","NA","NA","NA"
"dermal.tc","lognormal",250,"1.93","NA","NA","NA","1000","no","NA","NA","NA","NA","NA"
"om.ratio","triangle",0.001,"0.004","0.002","NA","NA","NA","NA","0","5","NA","NA","NA"
"om.ratio","triangle",1e-04,"4e-04","2e-04","NA","NA","NA","NA","6","99","NA","NA","NA"
"bath.p","binomial",0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"handmouth.area.f","beta",3.7,"25","NA","NA","NA","NA","NA","0","5","NA","NA","NA"
"handmouth.area.f","uniform",0,"0.1","NA","NA","NA","NA","NA","6","10","NA","NA","NA"
"handmouth.area.f","uniform",0,"0.02","NA","NA","NA","NA","NA","11","99","NA","NA","NA"
"handmouth.freq","weibull",0.75,"12.59","NA","NA","NA","60","no","NA","NA","NA","NA","NA"
"handwash.freq","lognormal",3.6,"2","NA","NA","1","12","no","NA","NA","NA","NA","NA"
"ingest.abs.f","uniform",0.4,"0.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"inhal.abs.f","point",0.16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"rem.bath.f","beta",4,"1.36","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"rem.handwash.f","triangle",0.05,"0.5","0.25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"rem.brushoff.f","triangle",0.01,"0.25","0.05","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"rem.derm.abs.f","triangle",0.001,"0.01","0.004","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"urine.f","uniform",0.3,"0.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
