"Age","males","females"
0,1978618,1885073
1,1982648,1895607
2,1969242,1880337
3,1989606,1902703
4,2041906,1945464
5,2062693,1963727
6,2089124,1991276
7,2140968,2038410
8,2168656,2070594
9,2218089,2111130
10,2224432,2114419
11,2138964,2036350
12,2117906,2018392
13,2084673,1986289
14,2110206,2002241
15,2096244,1983867
16,2079785,1956457
17,2124015,1985802
18,2111069,2004450
19,2139200,2052437
20,2103661,2010382
21,1995954,1905914
22,1951560,1867836
23,1904419,1827888
24,1881646,1815932
25,1933367,1866926
26,1858186,1814269
27,1941180,1901913
28,2037391,2001773
29,2161654,2136184
30,2200480,2143199
31,2044427,2017976
32,2033215,2011857
33,2042900,2035886
34,2126911,2116362
35,2291728,2279205
36,2272788,2291953
37,2274759,2295108
38,2292134,2312939
39,2311708,2349191
40,2377153,2386834
41,2235843,2280095
42,2279829,2317400
43,2201635,2256238
44,2150920,2206730
45,2174143,2216816
46,2030923,2102951
47,1997327,2068520
48,1930560,1999865
49,1864289,1940130
50,1893839,1962818
51,1790257,1871744
52,1837285,1916730
53,1799672,1881294
54,1392762,1469063
55,1405738,1485669
56,1393251,1483347
57,1401952,1500612
58,1239390,1337030
59,1155529,1255602
60,1127310,1227349
61,1076858,1177106
62,1048766,1154341
63,985487,1098354
64,972482,1097958
65,964674,1095789
66,875949,1010593
67,886437,1036943
68,867607,1022504
69,866677,1040653
70,854453,1042587
71,808678,1002714
72,800764,1012353
73,760602,985154
74,725876,970930
75,704336,966708
76,655317,918764
77,606916,870522
78,586031,861178
79,527852,801267
80,472844,747970
81,411528,672179
82,369183,622815
83,321138,571057
84,282901,527154
85,248356,490252
86,207992,434441
87,176080,387528
88,141511,329231
89,115533,290592
90,91059,240485
91,70014,199066
92,55299,165203
93,40366,130428
94,30030,102260
95,21524,77693
96,15014,58513
97,10590,42954
98,6993,29495
99,5325,22156
